timestamp,order_id,symbol,entity_name,side,quantity,price,strategy,outcome,reason,market,session_phase,equity,cash,day_pnl_pct,execution_mode
2026-07-31T13:30:10+00:00,96214cc6f12c44638ff76802405ff5c2,CSCO,,buy,109.27109205384284,115.15,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:30:10+00:00,96214cc6f12c44638ff76802405ff5c2,CSCO,"Cisco Systems, Inc.",buy,109.27109205384284,115.15,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:30:11+00:00,0c620d25f8bc4800aaafe3a478745c2e,AMD,,buy,9.954157603369271,509.21,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:30:12+00:00,0c620d25f8bc4800aaafe3a478745c2e,AMD,"Advanced Micro Devices, Inc.",buy,9.954157603369271,509.21,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:30:13+00:00,5e41f825ef684f48866034a9ae87a80b,PANW,,buy,28.263379277495027,330.295,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:30:13+00:00,5e41f825ef684f48866034a9ae87a80b,PANW,"Palo Alto Networks, Inc.",buy,28.263379277495027,330.295,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:30:56+00:00,5eebf8f444a541939bea83a00123aa89,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.8% of the $131.94 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:30:57+00:00,de9ccaab51344ca7b6815d34fc5efdd2,CVS,,buy,47.7064123222749,105.5,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:30:57+00:00,de9ccaab51344ca7b6815d34fc5efdd2,CVS,CVS Health Corporation,buy,47.7064123222749,105.5,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:30:58+00:00,cf3d66eda6244feba898ffd7f81103db,MU,,buy,1.948324437915839,916.42,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:30:58+00:00,cf3d66eda6244feba898ffd7f81103db,MU,"Micron Technology, Inc.",buy,1.948324437915839,916.42,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:31:11+00:00,7036d32d4e4245259e8bc5c61a66857e,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.8% of the $131.99 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:31:12+00:00,406e5b5fa4954277870097e0f17441d9,WFC,,buy,58.52016161851058,86.005,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:31:12+00:00,406e5b5fa4954277870097e0f17441d9,WFC,Wells Fargo & Company,buy,58.52016161851058,86.005,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:32:11+00:00,4752ee3848194a9cae13ef71cf444151,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.8% of the $132.54 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:32:12+00:00,6c4a66117efe43099ca857453e663e70,CRWD,,buy,17.245752204673217,188.45,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:32:12+00:00,6c4a66117efe43099ca857453e663e70,CRWD,"CrowdStrike Holdings, Inc.",buy,17.245752204673217,188.45,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:33:11+00:00,e88ce40fe77243e39aafbe6eb8794562,C,,buy,37.46344486210876,134.345,swing,proposed,awaiting sign-off,,,,,,auto
2026-07-31T13:33:11+00:00,e88ce40fe77243e39aafbe6eb8794562,C,Citigroup Inc.,buy,37.46344486210876,134.345,swing,blocked,session phase 'Opening Volatility' is not eligible for unattended execution,US,Opening Volatility,100660.53,100660.53,0.0,auto
2026-07-31T13:33:12+00:00,c660b26b171f4cf5b0ff2e644cf9f993,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $132.90 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:34:11+00:00,f9263928d909452eadb9d56ec623be35,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $132.92 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:35:11+00:00,8cb7861db3e249fda221b22fb7403f64,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.08 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:36:12+00:00,5381e47d3158474c93b037d82a18a65a,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.09 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:37:12+00:00,575e570b20c54a2dbfb815fd9fc35cb3,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.11 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:38:12+00:00,97625984067243bb9cf1f85d018430cb,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.19 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:39:12+00:00,040a79853495478ba1d1611ea59ba941,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.30 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:40:13+00:00,92e0bf0f36ee45b09609f2d3303e90e6,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.46 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:41:14+00:00,b315504a04b44d3db20578a4eccc520e,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.46 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:42:13+00:00,16e3cbf7b67b45888f1c5994b2efd00f,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.54 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:43:13+00:00,b3f99e7912684161bc15697059810bd5,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.6% of the $133.60 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:44:14+00:00,a6e6a52b12d04016b8f210d0c3c75497,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.7% of the $133.52 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:45:14+00:00,15413bbf999d4fa9a70c2197dbe1dd22,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.6% of the $133.61 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:46:14+00:00,6d59f51b70e04ad382a63c04ba0ea018,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.6% of the $133.71 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:47:14+00:00,be0ffd3bcf1540e1af20209edfd953cd,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.6% of the $133.64 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:52:15+00:00,3971cc8d8c84485db0c66d79fc66ff8d,SPY,,buy,0.0,,swing,rejected,"Round-trip cost $18.23 is 13.6% of the $133.72 at risk, above the 10.0% limit - the trade is too small to carry its fees",,,,,,auto
2026-07-31T13:56:57+00:00,6c4a66117efe43099ca857453e663e70,CRWD,operator (blotter),buy,17.245752204673217,188.45,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,de9ccaab51344ca7b6815d34fc5efdd2,CVS,operator (blotter),buy,47.7064123222749,105.5,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,96214cc6f12c44638ff76802405ff5c2,CSCO,operator (blotter),buy,109.27109205384284,115.15,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,406e5b5fa4954277870097e0f17441d9,WFC,operator (blotter),buy,58.52016161851058,86.005,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,e88ce40fe77243e39aafbe6eb8794562,C,operator (blotter),buy,37.46344486210876,134.345,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,0c620d25f8bc4800aaafe3a478745c2e,AMD,operator (blotter),buy,9.954157603369271,509.21,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,5e41f825ef684f48866034a9ae87a80b,PANW,operator (blotter),buy,28.263379277495027,330.295,swing,rejected_by_operator,rejected via blotter,,,,,,auto
2026-07-31T13:56:57+00:00,cf3d66eda6244feba898ffd7f81103db,MU,operator (blotter),buy,1.948324437915839,916.42,swing,rejected_by_operator,rejected via blotter,,,,,,auto
